propertyCode,floor,propertyType,size,exterior,rooms,bathrooms,district,latitude,longitude,status,hasLift,hasParkingSpace,Less_than_Primary,Lower_Secondary,Primary,Tertiary,Upper_Secondary_or_Post_Secondary,Distribucio_P80_20,African_population,American_population,Asian_population,European_population,Oceanian_population,Population_20_44,Population_45_69,Population_less_than_19,Population_greater_than_70,price,Price_Category
104148046,3,flat,83.0,True,3,1,Eixample,41.3856668,2.1428466,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,330000.0,Low
100287423,2,flat,176.0,True,5,2,Eixample,41.3925936,2.1568939,good,False,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,890000.0,Medium
101431581,1,flat,224.0,True,4,4,Ciutat Vella,41.3803595,2.1731329,good,False,False,8.833333333333334,332.1111111111111,259.77777777777777,378.55555555555554,269.44444444444446,3.4555555555555557,2024.0,3090.0,6627.0,12646.0,6.0,14457,6082,2386,1468,1164000.0,Medium
104688016,2,flat,68.0,True,3,1,Nou Barris,41.4402925,2.1755181,good,True,False,18.5,233.0625,168.9375,95.3125,160.9375,2.65,176.0,1805.0,573.0,10157.0,0.0,4297,4180,2255,1979,220000.0,Low
103641095,3,studio,232.0,True,3,3,Sarrià-Sant Gervasi,41.3941739,2.1186531,good,True,True,3.36,80.6875,39.6875,343.34375,156.9375,3.2,185.0,956.0,468.0,23175.0,0.0,6954,7978,5659,4193,1445000.0,High
104499737,3,flat,62.0,True,2,1,Ciutat Vella,41.3789692,2.1791072,good,True,False,8.833333333333334,332.1111111111111,259.77777777777777,378.55555555555554,269.44444444444446,3.4555555555555557,2024.0,3090.0,6627.0,12646.0,6.0,14457,6082,2386,1468,380000.0,Low
104676787,1,penthouse,47.0,True,2,1,Sant Martí,41.4235461,2.2068796,good,True,False,15.952380952380953,188.6904761904762,141.4047619047619,105.35714285714286,149.3095238095238,2.357142857142857,341.0,1932.0,1415.0,25524.0,0.0,8723,9922,4655,5912,120000.0,Low
101904647,chalet,chalet,330.0,True,7,3,Sarrià-Sant Gervasi,41.3970965,2.1190924,renew,True,False,3.36,80.6875,39.6875,343.34375,156.9375,3.2,185.0,956.0,468.0,23175.0,0.0,6954,7978,5659,4193,2750000.0,Very High
104705434,3,flat,160.0,True,3,2,Eixample,41.3781465,2.1585029,good,True,False,7.130434782608695,137.58333333333334,82.6875,299.9375,177.27083333333334,3.0416666666666665,354.0,3051.0,2653.0,32133.0,0.0,14892,11925,5057,6317,860000.0,Medium
103968098,2,penthouse,98.0,True,4,2,Eixample,41.3811369,2.1436021,good,True,True,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,490000.0,Low
101446883,chalet,chalet,160.0,True,5,4,Horta Guinardó,41.4192326,2.1560181,good,False,False,18.295454545454547,206.9090909090909,144.9318181818182,107.61363636363636,153.95454545454547,2.5136363636363637,391.0,3690.0,983.0,27399.0,0.0,10866,10718,5447,5432,380000.0,Low
104572929,7,flat,105.0,False,3,2,Eixample,41.3853679,2.1471724,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,430000.0,Low
104301847,2,flat,218.0,True,4,4,Eixample,41.3920867,2.1653373,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,2650000.0,High
104307031,1,flat,110.0,False,3,1,Sant Martí,41.411443,2.2027733,good,True,False,11.041666666666666,196.125,121.83333333333333,226.29166666666666,192.0,2.5749999999999997,276.0,1396.0,616.0,18928.0,0.0,7211,7376,3803,2826,345000.0,Low
104266930,bajo,flat,70.0,True,2,1,Sant Andreu,41.4242086,2.1810622,renew,True,False,10.666666666666666,173.61111111111111,96.22222222222223,214.44444444444446,198.61111111111111,2.6444444444444444,84.0,1174.0,474.0,12830.0,0.0,4823,5016,2395,2328,320000.0,Low
95924087,1,flat,153.0,True,3,2,Sant Martí,41.40639,2.2143093,good,True,True,10.153846153846153,150.71428571428572,85.35714285714286,346.7857142857143,185.07142857142858,2.7857142857142856,98.0,588.0,354.0,12315.0,0.0,4155,4696,2908,1596,840000.0,Medium
104705830,bajo,duplex,96.0,True,2,1,Ciutat Vella,41.389997,2.1797034,good,False,False,6.0,138.07692307692307,100.26923076923077,344.5769230769231,171.73076923076923,3.3307692307692305,659.0,2595.0,1458.0,17232.0,18.0,11125,6032,2598,2207,395000.0,Low
103650814,4,flat,156.0,True,3,2,Sants-Montjuïc,41.3758975,2.1262848,good,True,True,11.53125,159.03125,118.03125,203.6875,174.9375,2.7875,243.0,2651.0,1126.0,20283.0,0.0,8735,7929,3494,4145,1200000.0,Medium
103796973,1,penthouse,88.0,True,3,1,Gràcia,41.4079567,2.1558442,good,True,False,4.82089552238806,92.93055555555556,55.486111111111114,308.0138888888889,146.02777777777777,2.947222222222222,436.0,4174.0,1466.0,43866.0,14.0,20812,14862,7154,7128,498000.0,Low
103759939,4,flat,92.0,True,4,1,Sant Martí,41.4245145,2.2025657,good,True,False,15.952380952380953,188.6904761904762,141.4047619047619,105.35714285714286,149.3095238095238,2.357142857142857,341.0,1932.0,1415.0,25524.0,0.0,8723,9922,4655,5912,245000.0,Low
98498530,chalet,chalet,263.0,True,5,3,Sarrià-Sant Gervasi,41.4017698,2.146941,good,True,True,1.3214285714285714,87.07894736842105,33.68421052631579,366.2894736842105,177.02631578947367,2.9473684210526314,202.0,1763.0,671.0,27307.0,0.0,10140,9455,5485,4863,930000.0,Medium
104559844,1,flat,59.0,True,2,1,Nou Barris,41.4409279,2.1778882,good,True,False,19.15,190.275,140.025,85.0,139.025,2.535,288.0,2756.0,1130.0,22440.0,0.0,8339,8813,4339,5123,150000.0,Low
104718242,3,flat,68.0,True,2,1,Sant Martí,41.3979462,2.2080403,good,True,False,7.6923076923076925,148.125,87.65,291.475,179.575,2.77,264.0,1964.0,974.0,30874.0,10.0,11682,11885,6389,4130,280000.0,Low
98998329,2,penthouse,75.0,True,2,2,Horta Guinardó,41.4216829,2.1566206,newdevelopment,True,False,18.295454545454547,206.9090909090909,144.9318181818182,107.61363636363636,153.95454545454547,2.5136363636363637,391.0,3690.0,983.0,27399.0,0.0,10866,10718,5447,5432,325000.0,Low
101611375,penthouse,penthouse,183.0,True,4,2,Eixample,41.3990028,2.1791847,renew,True,False,5.351351351351352,146.925,79.325,325.25,198.375,2.9,477.0,3960.0,2338.0,27568.0,0.0,13804,10474,4828,5237,1150000.0,Medium
97332071,bajo,flat,109.0,True,1,1,Sants-Montjuïc,41.3741677,2.1398812,good,False,False,7.910714285714286,152.31034482758622,97.12068965517241,239.60344827586206,172.17241379310346,2.882758620689655,943.0,5224.0,2399.0,35908.0,0.0,17343,14090,6482,6559,179600.0,Low
104693997,2,flat,150.0,True,5,2,Eixample,41.3958847,2.17794,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,735000.0,Medium
104556185,2,flat,64.0,True,3,1,Eixample,41.3813265,2.1459474,renew,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,309000.0,Low
104559926,entresuelo,flat,63.0,False,3,1,Horta Guinardó,41.4232498,2.1748663,good,False,False,7.04,147.1,80.66,226.24,186.32,2.82,297.0,3489.0,825.0,32906.0,0.0,13004,12413,5934,6166,190000.0,Low
104370930,1,flat,154.0,True,3,1,Les Corts,41.3900175,2.1254632,good,True,False,0.0,85.21428571428571,35.785714285714285,394.64285714285717,185.64285714285714,3.5714285714285716,94.0,585.0,368.0,11015.0,0.0,3319,3758,2699,2286,795000.0,Medium
103715765,1,flat,151.0,True,3,2,Eixample,41.3924652,2.1679151,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,1495000.0,High
104573119,entreplanta,flat,110.0,False,3,2,Gràcia,41.4006058,2.1649712,good,True,False,4.82089552238806,92.93055555555556,55.486111111111114,308.0138888888889,146.02777777777777,2.947222222222222,436.0,4174.0,1466.0,43866.0,14.0,20812,14862,7154,7128,625000.0,Medium
104229830,chalet,chalet,257.0,True,6,3,Sant Andreu,41.4330953,2.1891575,renew,False,False,7.753246753246753,158.64102564102564,101.25641025641026,183.14102564102564,176.93589743589743,2.3743589743589744,616.0,2814.0,1030.0,53399.0,0.0,17112,20596,10153,9998,650000.0,Medium
103894033,2,flat,91.0,True,3,2,Sarrià-Sant Gervasi,41.4031872,2.1356396,good,True,False,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,535000.0,Low
103057082,entreplanta,flat,83.0,True,4,1,Nou Barris,41.4296755,2.1676485,good,True,False,10.894736842105264,158.42105263157896,102.21052631578948,154.07894736842104,165.57894736842104,2.6473684210526316,209.0,2352.0,935.0,22375.0,0.0,8068,8889,4041,4873,265000.0,Low
104371169,4,flat,50.0,True,1,1,Ciutat Vella,41.3778539,2.167473,good,False,False,9.214285714285714,244.35714285714286,214.3095238095238,263.54761904761904,191.52380952380952,2.9761904761904763,1990.0,3934.0,11585.0,28098.0,0.0,21356,12814,7819,3618,195000.0,Low
102784708,6,duplex,85.0,True,2,2,Les Corts,41.3857401,2.1303134,good,True,False,3.9206349206349205,93.38571428571429,50.142857142857146,266.7857142857143,152.2,2.797142857142857,288.0,2764.0,1419.0,41441.0,0.0,14296,14814,7267,9535,440000.0,Low
97841301,1,flat,226.0,True,3,3,Eixample,41.3948449,2.1622068,good,False,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,3200000.0,Very High
101093216,3,penthouse,113.0,True,3,2,Ciutat Vella,41.3801277,2.1790546,good,True,False,8.833333333333334,332.1111111111111,259.77777777777777,378.55555555555554,269.44444444444446,3.4555555555555557,2024.0,3090.0,6627.0,12646.0,6.0,14457,6082,2386,1468,770000.0,Medium
101883401,5,flat,90.0,True,3,2,Eixample,41.3789584,2.1532393,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,487000.0,Low
104703010,5,flat,80.0,True,3,2,Eixample,41.3760895,2.1546278,good,True,False,7.130434782608695,137.58333333333334,82.6875,299.9375,177.27083333333334,3.0416666666666665,354.0,3051.0,2653.0,32133.0,0.0,14892,11925,5057,6317,389000.0,Low
101438723,1,flat,210.0,True,5,3,Sarrià-Sant Gervasi,41.3971701,2.1354298,good,True,True,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,1500000.0,High
104384980,1,flat,119.0,True,3,2,Ciutat Vella,41.3794116,2.1732825,good,False,False,9.214285714285714,244.35714285714286,214.3095238095238,263.54761904761904,191.52380952380952,2.9761904761904763,1990.0,3934.0,11585.0,28098.0,0.0,21356,12814,7819,3618,460000.0,Low
104045478,2,flat,91.0,True,3,2,Sarrià-Sant Gervasi,41.4034525,2.1353437,good,True,False,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,535000.0,Low
103810838,17 to 25,flat,150.0,True,3,2,Sants-Montjuïc,41.3748258,2.1426934,good,True,False,8.25,158.55,107.0,250.15,173.75,3.08,287.0,1475.0,1007.0,13139.0,0.0,6336,5036,2265,2271,510000.0,Low
104542395,7,flat,353.0,True,6,6,Sarrià-Sant Gervasi,41.3959801,2.131148,good,True,True,0.6363636363636364,66.22727272727273,25.90909090909091,343.27272727272725,157.95454545454547,3.2818181818181817,78.0,555.0,310.0,15256.0,0.0,4470,5178,3759,2792,2100000.0,High
103520050,1,flat,54.0,True,3,1,Nou Barris,41.4394844,2.1769771,renew,False,False,19.15,190.275,140.025,85.0,139.025,2.535,288.0,2756.0,1130.0,22440.0,0.0,8339,8813,4339,5123,160000.0,Low
104748473,1,flat,73.0,False,3,2,Gràcia,41.4045863,2.1590307,good,True,False,4.82089552238806,92.93055555555556,55.486111111111114,308.0138888888889,146.02777777777777,2.947222222222222,436.0,4174.0,1466.0,43866.0,14.0,20812,14862,7154,7128,420000.0,Low
104004097,2,penthouse,62.0,True,3,1,Nou Barris,41.4400629,2.1763574,good,False,False,18.5,233.0625,168.9375,95.3125,160.9375,2.65,176.0,1805.0,573.0,10157.0,0.0,4297,4180,2255,1979,185000.0,Low
104111951,4,flat,106.0,True,4,1,Sant Martí,41.4174834,2.1989135,good,True,False,12.0,177.36111111111111,122.52777777777777,148.63888888888889,166.61111111111111,2.388888888888889,108.0,1762.0,1238.0,22995.0,0.0,8038,8921,4071,5073,335000.0,Low
103982913,entreplanta,flat,70.0,True,3,1,Horta Guinardó,41.4186766,2.1683077,good,True,False,7.04,147.1,80.66,226.24,186.32,2.82,297.0,3489.0,825.0,32906.0,0.0,13004,12413,5934,6166,188000.0,Low
104486639,sótano,flat,71.0,False,2,1,Horta Guinardó,41.4204211,2.1598287,renew,True,False,18.295454545454547,206.9090909090909,144.9318181818182,107.61363636363636,153.95454545454547,2.5136363636363637,391.0,3690.0,983.0,27399.0,0.0,10866,10718,5447,5432,105000.0,Low
104272938,5,flat,220.0,True,4,2,Eixample,41.3942496,2.1662615,renew,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,1240000.0,Medium
104021700,2,flat,107.0,True,3,2,Sant Andreu,41.4334323,2.1871162,good,True,False,7.753246753246753,158.64102564102564,101.25641025641026,183.14102564102564,176.93589743589743,2.3743589743589744,616.0,2814.0,1030.0,53399.0,0.0,17112,20596,10153,9998,435000.0,Low
101814057,2,flat,100.0,True,4,2,Nou Barris,41.4416016,2.1780698,good,True,False,18.5,233.0625,168.9375,95.3125,160.9375,2.65,176.0,1805.0,573.0,10157.0,0.0,4297,4180,2255,1979,210000.0,Low
103846503,3,flat,191.0,True,5,4,Sarrià-Sant Gervasi,41.4009854,2.1377449,good,True,True,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,1200000.0,Medium
104142119,1,flat,50.0,False,3,1,Sants-Montjuïc,41.381152,2.1345701,good,False,False,7.910714285714286,152.31034482758622,97.12068965517241,239.60344827586206,172.17241379310346,2.882758620689655,943.0,5224.0,2399.0,35908.0,0.0,17343,14090,6482,6559,190000.0,Low
103537951,1,flat,113.0,True,4,2,Sant Martí,41.4211651,2.2044151,good,True,False,15.952380952380953,188.6904761904762,141.4047619047619,105.35714285714286,149.3095238095238,2.357142857142857,341.0,1932.0,1415.0,25524.0,0.0,8723,9922,4655,5912,368000.0,Low
103445041,2,flat,92.0,True,2,2,Eixample,41.3853221,2.1605355,good,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,625000.0,Medium
104377841,1,flat,145.0,True,4,2,Eixample,41.3825119,2.1448112,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,700000.0,Medium
104700442,1,flat,145.0,True,4,3,Sarrià-Sant Gervasi,41.4024108,2.1393991,good,True,False,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,855000.0,Medium
104319969,6,flat,43.0,True,2,1,Ciutat Vella,41.3796176,2.1676658,good,False,False,9.214285714285714,244.35714285714286,214.3095238095238,263.54761904761904,191.52380952380952,2.9761904761904763,1990.0,3934.0,11585.0,28098.0,0.0,21356,12814,7819,3618,146000.0,Low
103874871,3,flat,55.0,True,1,1,Ciutat Vella,41.3827022,2.1861727,good,True,False,6.0,138.07692307692307,100.26923076923077,344.5769230769231,171.73076923076923,3.3307692307692305,659.0,2595.0,1458.0,17232.0,18.0,11125,6032,2598,2207,360000.0,Low
