Price_Category,latitude,longitude
Medium,41.3962303,2.1435704
Medium,41.3932539,2.1755826
Medium,41.4087106,2.1436355
Medium,41.3808924,2.1754334
Medium,41.4017029,2.1722145
Medium,41.3956484,2.1782173
Medium,41.3983503,2.1783692
High,41.4040653,2.1185464
High,41.406827,2.1315408
Medium,41.3832874,2.1448185
Medium,41.3841608,2.1338959
High,41.3908055,2.1374065
Medium,41.3822081,2.1610829
Medium,41.3849493,2.1297252
Medium,41.3927033,2.1759882
Medium,41.3946269,2.1671343
Medium,41.3954916,2.1403238
Medium,41.3970662,2.1686258
High,41.3987961,2.1353462
Low,41.3903983,2.1769668
Low,41.3731286,2.1254648
Medium,41.3863621,2.1744909
Medium,41.3920071,2.1363089
Very High,41.3917224,2.1400663
Medium,41.3985916,2.1593784
Low,41.397487,2.1220019
High,41.4045189,2.1323327
Low,41.3864483,2.1730739
Very High,41.393544,2.1770725
Medium,41.4093712,2.1395658
Medium,41.3887594,2.1159478
Medium,41.3876408,2.1548816
Medium,41.3978978,2.1425887
Medium,41.3827683,2.1759661
Medium,41.3975648,2.1656496
Medium,41.4000025,2.15892
Low,41.3724443,2.164894
Low,41.402687,2.1761856
Low,41.3775222,2.1722297
Low,41.379579,2.1384715
Medium,41.4006989,2.118812
Low,41.3995246,2.1600599
High,41.392694,2.177615
High,41.3882554,2.1739764
Medium,41.3843286,2.1721434
Medium,41.3932224,2.1526926
Medium,41.3968658,2.1397808
Medium,41.4007327,2.1590369
Very High,41.3950632,2.1333458
Medium,41.3886638,2.175988
Low,41.3937965,2.1758379
Medium,41.3799814,2.161753
Low,41.3838725,2.1766187
Low,41.3708722,2.1362424
Low,41.3901723,2.1534838
Medium,41.3916484,2.1229721
Medium,41.3856238,2.1595555
Medium,41.3966458,2.1694695
Low,41.3730076,2.1634948
Low,41.4027664,2.1530797
Medium,41.3776667,2.1709479
Medium,41.4011321,2.1682633
Medium,41.384143,2.1254842
Low,41.3931805,2.1465147
Medium,41.4009767,2.1464089
Medium,41.4025489,2.1686045
Low,41.4090456,2.1469468
High,41.3992194,2.122539
Low,41.3795894,2.1552869
Medium,41.3998815,2.1637709
High,41.380926,2.1726026
High,41.3987024,2.1618647
Medium,41.3807692,2.1756118
Medium,41.3822506,2.1486386
High,41.4087732,2.1373042
Low,41.3801678,2.157658
Medium,41.3929548,2.1735365
Medium,41.4117032,2.142631
Medium,41.4134835,2.1553846
Medium,41.4115177,2.1446812
Low,41.3799195,2.1739761
High,41.3917894,2.1740177
Low,41.3794716,2.1343333
Low,41.4077666,2.1690598
Medium,41.4017698,2.146941
Medium,41.3946577,2.1677138
Medium,41.3956113,2.1191204
High,41.3978396,2.1648779
High,41.4094207,2.1360757
Low,41.3798689,2.1740478
Medium,41.3912172,2.1446763
Medium,41.3868697,2.1453007
High,41.4014534,2.1293239
Medium,41.3982304,2.1604463
Medium,41.3962972,2.1228299
Medium,41.4008112,2.1439851
Medium,41.3991319,2.1318102
Medium,41.3969643,2.1312862
Medium,41.3937626,2.1438518
Medium,41.4059776,2.1411427
Medium,41.3893133,2.1563526
High,41.4031691,2.1260042
Medium,41.3924617,2.1443726
Low,41.3865542,2.1350257
Very High,41.3963851,2.1381235
Low,41.3737655,2.1406057
Medium,41.3889346,2.1747452
Low,41.4017107,2.1543047
Medium,41.4032476,2.144802
Medium,41.408768,2.1352151
Medium,41.3970505,2.1358008
Medium,41.4056251,2.1657561
Medium,41.3911428,2.1256948
Low,41.3861021,2.144755
Very High,41.406629,2.1286801
Low,41.3760083,2.1181322
Medium,41.3926384,2.1408873
Medium,41.39415,2.1741669
High,41.4017287,2.1288068
High,41.3954303,2.129286
Low,41.3754018,2.1676326
Medium,41.4016185,2.1353911
Medium,41.3974458,2.1661984
Low,41.3795995,2.1356765
Medium,41.4012774,2.1419539
High,41.3988843,2.1419797
Low,41.4024757,2.174189
Medium,41.3865023,2.1282883
High,41.4047546,2.1304505
Low,41.3835967,2.1455829
Low,41.3800723,2.1709384
High,41.3961083,2.1695406
Low,41.3966288,2.1443839
Low,41.3862764,2.1398457
Medium,41.4074435,2.1369298
Medium,41.4039932,2.1394992
Medium,41.3918491,2.1658303
Low,41.3670303,2.1350834
Low,41.3800083,2.1481869
Medium,41.3887976,2.1435547
Medium,41.3879641,2.1772569
Medium,41.402856,2.1401902
Very High,41.3937722,2.1647133
Medium,41.3786222,2.1537456
Medium,41.4031868,2.1700178
Low,41.4018534,2.1618754
Low,41.3788149,2.1682063
Low,41.3739423,2.1286701
Medium,41.3976706,2.1678906
Medium,41.3864733,2.1637871
Medium,41.3892078,2.1537713
Low,41.3760587,2.1656934
Low,41.4174192,2.1571431
Medium,41.3788976,2.1495038
Medium,41.3917706,2.159107
Medium,41.4013654,2.1205841
Low,41.3819246,2.1736091
Medium,41.3899027,2.1512209
High,41.3972547,2.1369519
Medium,41.3937155,2.1224801
Low,41.3865729,2.1329654
High,41.3957783,2.178143
Low,41.3951737,2.175636
Low,41.3863921,2.1573532
Medium,41.3843679,2.1745368
Medium,41.37899,2.1144682
Low,41.384967,2.17741
Low,41.3855402,2.1464491
Low,41.3813133,2.1711675
Low,41.4046276,2.1390069
High,41.3965719,2.1355244
Medium,41.400592,2.1447258
Medium,41.405254,2.14621
High,41.4020175,2.1358289
Low,41.3779754,2.1613822
Low,41.4059132,2.1749121
Medium,41.3998849,2.1421593
Low,41.4022909,2.1746092
Medium,41.3831684,2.1423458
High,41.390622,2.1750405
Low,41.3751914,2.129261
Low,41.385765,2.1745236
Medium,41.3962669,2.1552369
Low,41.3893315,2.153591
Medium,41.393996,2.1310239
Medium,41.3951329,2.123739
Low,41.3997767,2.177396
Low,41.3784445,2.1536168
Medium,41.382897,2.1746432
Low,41.3897431,2.1488346
Low,41.3853998,2.1752225
Medium,41.4006918,2.1672226
Low,41.3971343,2.1480142
Low,41.3815588,2.1723848
High,41.3914722,2.1174231
Medium,41.3941833,2.1381168
High,41.4080334,2.144968
High,41.3978614,2.1367591
Medium,41.3926535,2.1259897
Low,41.3961947,2.1451112
Low,41.3843428,2.1526912
Medium,41.4081506,2.1388855
Medium,41.3897349,2.1275418
Very High,41.3928513,2.1661978
Medium,41.3859964,2.1603726
Low,41.3827859,2.1739061
Medium,41.3941442,2.1600328
Low,41.3781607,2.1683192
Low,41.3844284,2.165871
Medium,41.4027935,2.1437776
Medium,41.4015074,2.15143
Medium,41.3939827,2.1713365
High,41.3903233,2.1684684
Medium,41.3953744,2.1761823
High,41.3957624,2.1400231
Low,41.3990772,2.1696911
High,41.3879162,2.1728039
Medium,41.3936519,2.1712353
Low,41.3816639,2.1761639
Medium,41.3914619,2.1738039
Low,41.4047215,2.1537511
Medium,41.3874442,2.1449049
Medium,41.3913454,2.159447
High,41.3902129,2.1739404
Medium,41.3972076,2.1584031
Medium,41.3820947,2.17516
Medium,41.3936075,2.1283951
Medium,41.3909348,2.1451082
Medium,41.3911737,2.172516
Medium,41.4019727,2.139257
High,41.3863386,2.1582972
Medium,41.3969836,2.1782042
Low,41.3878536,2.1744968
High,41.3983885,2.1392905
Medium,41.3864294,2.1571469
Low,41.3717019,2.1649296
Medium,41.3960961,2.1504224
Low,41.380788,2.1432541
Medium,41.3820774,2.1705548
Low,41.396118,2.1681552
Low,41.396116,2.1543565
Medium,41.3826245,2.1741699
Medium,41.395505,2.1644035
High,41.3903033,2.1715242
Medium,41.3770541,2.1517881
Low,41.391741,2.1495911
Medium,41.388241,2.1642343
High,41.3942221,2.1573922
High,41.3915836,2.1586379
High,41.392808,2.1197079
High,41.3916408,2.1502699
Medium,41.3913956,2.1588066
High,41.3968239,2.1428737
Medium,41.3916626,2.170735
Medium,41.3941102,2.1665352
Medium,41.3814051,2.1769186
Very High,41.3938707,2.1376185
Low,41.3780032,2.1649325
Medium,41.3855821,2.1114391
Low,41.4085356,2.1606815
High,41.3956258,2.1626976
High,41.4143649,2.1422553
Medium,41.3876111,2.174585
Medium,41.3983849,2.1659247
Medium,41.3953211,2.1592818
Low,41.3849982,2.1303026
Medium,41.3970223,2.16655
High,41.3950084,2.1519296
High,41.3953118,2.1160301
Medium,41.3989428,2.1587337
Medium,41.376489,2.1561389
Medium,41.4065508,2.1641797
Medium,41.3837526,2.1595379
Medium,41.3940301,2.151823
Medium,41.3904431,2.1634492
High,41.4000263,2.1374991
Medium,41.3896155,2.1434577
Medium,41.3894188,2.173111
Medium,41.4116049,2.1387379
High,41.3918787,2.1597763
Low,41.3975108,2.169169
Medium,41.3963035,2.1675852
Low,41.393733,2.1426251
Low,41.3675086,2.1381186
Low,41.4041023,2.1521232
High,41.3831669,2.1741568
Very High,41.4081797,2.1373978
High,41.3881714,2.1654464
Medium,41.3990186,2.1466313
Medium,41.3885193,2.1792924
Very High,41.3952309,2.1375935
Very High,41.3923025,2.1655828
Low,41.3987397,2.1628748
Low,41.3815382,2.1587499
Very High,41.3977555,2.140259
Very High,41.3902094,2.1571928
Very High,41.3887173,2.1099659
Medium,41.4019786,2.1530788
Very High,41.4166941,2.1302982
Medium,41.3965551,2.17011
Medium,41.4011095,2.1434375
Medium,41.3923875,2.1746845
Medium,41.3946669,2.1242734
Medium,41.3941735,2.1536204
High,41.3885824,2.1684768
High,41.3946254,2.1366154
Medium,41.3960496,2.150322
High,41.3901043,2.1686052
Low,41.3985495,2.1779909
Low,41.387571,2.155722
High,41.3973297,2.1318959
Low,41.3965443,2.1284688
Low,41.38858,2.1465897
Medium,41.3981067,2.1434502
Low,41.4072773,2.1608071
High,41.3942978,2.1670666
Low,41.3847006,2.1749199
High,41.3890032,2.1685558
Low,41.3989757,2.1675974
High,41.4034546,2.1293505
Low,41.3837573,2.1509327
Low,41.3834497,2.1361519
High,41.4070392,2.1393067
Low,41.3839396,2.1613775
Medium,41.4125284,2.1302867
Low,41.3751858,2.162826
Medium,41.4090398,2.1374297
High,41.3898715,2.1736763
High,41.3931112,2.1355419
Low,41.3829984,2.1435633
Very High,41.4073364,2.1183039
High,41.393918,2.168657
High,41.3945599,2.1420734
Medium,41.3912792,2.1475732
High,41.3981753,2.1309471
Medium,41.3953181,2.1645208
Very High,41.3955009,2.1362301
High,41.3910945,2.1388208
Low,41.3741084,2.1412583
Medium,41.4011191,2.1663957
Very High,41.3967957,2.1583405
Low,41.3976696,2.1427701
Low,41.389728,2.142449
Low,41.3859946,2.171114
High,41.3716815,2.1620975
Low,41.3667131,2.1384839
Low,41.3750997,2.1444008
Medium,41.3955501,2.1801225
Low,41.3847698,2.1611806
Medium,41.3861821,2.1109123
Medium,41.3833854,2.1774038
Low,41.3893122,2.1486192
Low,41.3742665,2.1577878
Medium,41.3827418,2.1767355
High,41.3917624,2.1221225
Low,41.3817732,2.1773805
High,41.3782283,2.1561056
High,41.3906369,2.1693759
Medium,41.4018975,2.1434118
Medium,41.3976218,2.1469704
Medium,41.3889855,2.1615852
Medium,41.3800382,2.1571847
High,41.3912684,2.1675448
Low,41.3726588,2.1666605
Medium,41.4042126,2.1389987
Medium,41.3945805,2.1528285
High,41.3994932,2.1443528
Low,41.3717999,2.14416
High,41.3949412,2.1158642
Medium,41.4047842,2.1460291
High,41.3973643,2.133098
Low,41.3708097,2.1594861
High,41.3915766,2.1152723
Very High,41.397651,2.1310224
Low,41.3965256,2.1467228
High,41.3929053,2.1730038
Medium,41.3995475,2.1186644
Low,41.3747262,2.1642762
High,41.3966808,2.1332178
High,41.3973488,2.1400746
Low,41.3706605,2.1595296
High,41.3910406,2.1600158
Medium,41.3941387,2.1718828
Medium,41.3965636,2.128679
Low,41.4078003,2.1682032
High,41.39107,2.1785172
Medium,41.3793783,2.1612208
Medium,41.3963439,2.152269
Medium,41.4012172,2.1735602
Medium,41.3933571,2.1686458
Medium,41.3900197,2.1625881
Medium,41.3992002,2.1601676
Medium,41.3816602,2.1584955
Low,41.3957577,2.1762095
High,41.3921756,2.1581865
Low,41.3977965,2.1745302
Medium,41.3954386,2.1688359
High,41.4069544,2.1580171
High,41.3958941,2.1199999
Low,41.386232,2.1771603
Low,41.3843318,2.176721
Low,41.4125845,2.161224
Medium,41.3769119,2.1301829
High,41.3995659,2.1185113
Medium,41.3973205,2.1657361
Low,41.3741333,2.166397
Medium,41.4033188,2.1456719
Medium,41.3980059,2.1225644
Low,41.3778657,2.1705862
Low,41.3971028,2.1445345
Medium,41.3926254,2.1264289
Medium,41.4078695,2.1531239
Medium,41.3915887,2.121516
Medium,41.3793613,2.1559109
Medium,41.3734008,2.1589877
High,41.392569,2.1295891
Medium,41.392663,2.1793182
Medium,41.3992515,2.1736658
Medium,41.4037745,2.1386645
Low,41.373795,2.1613256
Medium,41.4139109,2.1460365
Medium,41.3864265,2.1539236
Very High,41.3966116,2.1414299
Medium,41.3846881,2.1603141
Medium,41.3958419,2.1471344
Very High,41.3965964,2.1350199
Medium,41.3809685,2.1505088
Medium,41.3944599,2.1545281
Medium,41.3851594,2.159745
Medium,41.3990228,2.1700381
Low,41.4039921,2.1727789
High,41.3913791,2.1663692
High,41.3911537,2.1379367
High,41.3948471,2.1607174
Medium,41.3794791,2.1327043
Medium,41.3821885,2.1776845
Low,41.4007524,2.1648286
Medium,41.4000081,2.1571927
Medium,41.3996251,2.1699407
Low,41.3883892,2.1423475
High,41.3970105,2.1321442
High,41.3944179,2.1677748
Low,41.3671414,2.1338701
Low,41.4099249,2.1564348
Very High,41.3989932,2.1631947
High,41.3919686,2.1762841
Medium,41.3879745,2.1641136
High,41.3972289,2.1673783
Medium,41.4040408,2.1380567
Very High,41.3937835,2.1434515
Medium,41.3717468,2.1421715
Medium,41.38607,2.1622194
Low,41.4064449,2.1529126
Low,41.376233,2.1328794
High,41.3947474,2.1652163
Low,41.3822959,2.1600728
Low,41.3823923,2.1656963
Low,41.4080016,2.1727141
Low,41.3714593,2.1566331
Medium,41.3917983,2.1581862
Medium,41.3922536,2.1595101
Medium,41.3981547,2.1716923
Medium,41.3935556,2.1506918
Medium,41.3897978,2.1744087
Low,41.3987042,2.1560985
Low,41.3739204,2.1303377
Low,41.3800811,2.1245183
High,41.3834526,2.1473894
High,41.3895103,2.1721916
Low,41.3838121,2.1446907
Medium,41.4076663,2.1388275
Very High,41.3992448,2.1691683
Low,41.3742811,2.1285212
Low,41.3802896,2.1332683
Very High,41.3957538,2.1409729
High,41.4127416,2.1507985
Low,41.3793998,2.1666488
Medium,41.3908245,2.1423661
Medium,41.4010112,2.1302685
Medium,41.3948335,2.138128
Medium,41.3979126,2.1795179
Medium,41.3907913,2.1771018
Medium,41.384546,2.1643697
Low,41.37172,2.1427364
Low,41.3841315,2.1779527
Medium,41.374305,2.1594129
Medium,41.3913174,2.1171016
High,41.3963549,2.1583342
Medium,41.395281,2.1549689
Low,41.3808403,2.1266098
High,41.393084,2.1419247
High,41.3936608,2.1584532
High,41.3935417,2.1608309
Low,41.3855348,2.139938
Medium,41.3797981,2.1619397
Medium,41.3900267,2.1447095
High,41.3986056,2.117381
Medium,41.4012381,2.1718707
Low,41.3864191,2.1505424
Low,41.3925923,2.147242
Medium,41.3935142,2.172318
High,41.3932038,2.1613533
Low,41.3832612,2.1357934
Medium,41.391594,2.134122
Medium,41.3717697,2.1414247
Low,41.3714531,2.1648163
Medium,41.3796679,2.1755082
Low,41.3849504,2.1769598
Medium,41.3967757,2.1569018
High,41.3950642,2.1525593
Very High,41.3956645,2.1356644
Low,41.3880355,2.1717068
High,41.3901879,2.1304159
Medium,41.4037162,2.1615737
Medium,41.3942497,2.1449385
Medium,41.4057719,2.1417545
Medium,41.398689,2.1788173
Medium,41.3919778,2.1731276
Low,41.3954209,2.1748041
Very High,41.3991301,2.1376206
Low,41.4018932,2.1644285
Low,41.4093854,2.1489237
Medium,41.3977003,2.154778
Low,41.3851851,2.1458842
Medium,41.4126037,2.131121
Very High,41.3910748,2.1667674
High,41.3961527,2.1163695
Medium,41.3840159,2.1514318
Medium,41.392174,2.1399723
Low,41.3789306,2.1252946
High,41.3914597,2.1679475
Medium,41.3988971,2.1548894
Medium,41.3868951,2.1576017
Medium,41.4027263,2.175964
High,41.3973192,2.1542047
Low,41.4064944,2.1531
Medium,41.397362,2.1638404
Medium,41.3920598,2.1679805
Medium,41.3960638,2.1494355
Low,41.3984199,2.171
Low,41.379255,2.13652
Medium,41.375983,2.1162821
Medium,41.3970404,2.1447055
High,41.3775445,2.1736991
High,41.3908996,2.1736832
Medium,41.3892856,2.1416272
Medium,41.3939921,2.1803345
High,41.3939446,2.1350146
Medium,41.387696,2.1611849
High,41.389729,2.1666418
Very High,41.3894625,2.1178903
Medium,41.3961593,2.1674207
Medium,41.3865261,2.1266192
Medium,41.3964614,2.1527708
Low,41.3869481,2.1757908
High,41.3948415,2.1384391
Low,41.3803557,2.1575498
High,41.3947398,2.1375395
High,41.3871032,2.1682103
Low,41.4104327,2.1571508
Very High,41.3932774,2.1376549
High,41.3946571,2.1347083
Low,41.3864085,2.1296669
Low,41.3841867,2.1467544
Medium,41.3932675,2.1669739
High,41.391957,2.1432759
Low,41.3735031,2.1610458
Medium,41.3876412,2.1688859
High,41.3962002,2.1554479
Very High,41.3937414,2.1343782
Low,41.375707,2.1663546
Low,41.3762481,2.1698207
Low,41.3813892,2.1737503
Low,41.4109797,2.145106
High,41.4041791,2.130681
Medium,41.4059815,2.1346821
Low,41.3959283,2.1730782
Medium,41.3902922,2.1416796
Low,41.3738326,2.1310228
Low,41.3815432,2.1724205
Low,41.4123737,2.1568716
Low,41.3881559,2.1422811
Very High,41.3934313,2.1373948
Medium,41.3979725,2.135888
Low,41.3755428,2.1321346
Low,41.4012261,2.1642413
Low,41.3874743,2.1447874
Low,41.3722448,2.1583419
Medium,41.3968922,2.1498674
Low,41.3770072,2.1194564
Medium,41.3954923,2.123088
High,41.4009665,2.1215904
Medium,41.3872599,2.1758244
Low,41.3822533,2.1777772
Low,41.3676374,2.1412861
Medium,41.3894928,2.1410058
High,41.4041719,2.1303662
Low,41.3697101,2.1454441
Low,41.4018507,2.1370212
Medium,41.4026489,2.1426779
Low,41.3956936,2.1466319
Low,41.380691,2.1509063
Medium,41.408208,2.1592387
Low,41.381851,2.1610777
High,41.3925293,2.1337833
Low,41.3744119,2.159264
Low,41.4008209,2.1653588
Medium,41.4020977,2.1474773
Very High,41.4007355,2.1716079
Medium,41.406227,2.1713571
Low,41.3800767,2.1472814
High,41.4041327,2.132819
Low,41.378302,2.1284235
Medium,41.3912496,2.1226127
Medium,41.3892327,2.1717639
High,41.3922382,2.1394177
Low,41.3769048,2.1647401
Low,41.3804686,2.1760287
Medium,41.3912493,2.1516161
Medium,41.3981189,2.1739579
Medium,41.3864961,2.1739457
High,41.4040703,2.1371667
Low,41.3869307,2.1270021
Medium,41.3997587,2.1776144
Low,41.3753327,2.1538881
Low,41.3855922,2.1404811
Medium,41.3963368,2.1741617
Low,41.4054983,2.169966
Low,41.4067343,2.1534375
Medium,41.3898866,2.1537389
Low,41.4125253,2.1592447
Low,41.4023284,2.1636882
Medium,41.3942199,2.1713613
Medium,41.3908711,2.1687781
Medium,41.4009366,2.1479697
Low,41.383806,2.1720927
Low,41.3764876,2.169817
High,41.3987567,2.1257054
Low,41.3791625,2.168461
Low,41.3785261,2.171187
Low,41.3986356,2.1677221
Medium,41.3960561,2.1299331
Low,41.3992951,2.1657257
High,41.3929509,2.1687047
Low,41.3815475,2.1595797
Low,41.4012488,2.1776706
Medium,41.3932957,2.1708779
Low,41.3857395,2.1561231
Low,41.3824521,2.1670157
Low,41.4136606,2.1462059
High,41.3926328,2.1660279
Very High,41.3932836,2.1144561
Medium,41.3949523,2.1759444
Low,41.4036427,2.154866
Low,41.3867255,2.1606128
Low,41.3790719,2.1311332
Low,41.3768941,2.169365
High,41.3883801,2.1648566
High,41.4004892,2.1671107
Low,41.3868584,2.1786393
Low,41.3788586,2.137565
Low,41.3861582,2.1481135
Low,41.3767713,2.1557236
Low,41.3699102,2.1309333
Low,41.405438,2.1414157
Low,41.3801582,2.1657696
High,41.3992108,2.1477404
Low,41.3891701,2.1551026
High,41.3903879,2.1225293
Medium,41.3925475,2.1760064
Medium,41.383746,2.162117
Medium,41.388249,2.15853
Low,41.3884847,2.1553386
Low,41.3988643,2.118335
Very High,41.4085931,2.1164949
Low,41.4182774,2.1500522
Medium,41.3945296,2.1456566
Medium,41.3961156,2.1207351
Low,41.4013133,2.1710434
High,41.408419,2.1644359
High,41.3940581,2.144237
Low,41.4067357,2.1501963
Low,41.3957503,2.143306
Low,41.4101297,2.1489702
Medium,41.3981876,2.1716494
Low,41.4038638,2.171359
Low,41.3688176,2.1397954
High,41.3913775,2.1711618
Medium,41.3990028,2.1791847
Low,41.3772464,2.1296632
Low,41.3887209,2.153756
High,41.3904497,2.1204172
Medium,41.3923058,2.1164875
Very High,41.3912749,2.1123464
Low,41.3842741,2.1255347
High,41.3873907,2.1764543
Low,41.4030114,2.1445943
Low,41.375724,2.1313322
Low,41.3764071,2.1661335
Low,41.3785971,2.1219348
Low,41.3852447,2.175571
Medium,41.4029372,2.1388311
Medium,41.4137088,2.1522255
Very High,41.3977166,2.1415285
Low,41.3883362,2.1758645
Medium,41.4040922,2.1371833
Medium,41.3940243,2.1484089
Medium,41.3938766,2.1793664
Low,41.381152,2.1345701
High,41.3987532,2.1387381
Low,41.3798219,2.1335797
High,41.3936188,2.1414611
Medium,41.3865828,2.1323204
Low,41.3775259,2.1583046
Very High,41.3994286,2.1698247
